url,extraction,lexical,syntactic
https://www.imdb.com/name/nm1391796/bio,Mel Brooks,0,0
https://www.imdb.com/name/nm1391796/bio,Connie Britton,1,1
https://www.imdb.com/name/nm1391796/bio,Paul Sorvino,1,1
https://www.imdb.com/name/nm1391796/bio,Eric Roberts,1,1
https://www.imdb.com/name/nm1391796/bio,Mickey Rourke,1,1
https://www.imdb.com/name/nm1391796/bio,Al Pacino,1,1
https://www.imdb.com/name/nm1391796/bio,Viggo Mortensen,1,1
https://www.imdb.com/name/nm1391796/bio,Tony Shaloub,1,1
https://www.imdb.com/name/nm1391796/bio,Renee Zellwegger,1,1
https://www.imdb.com/name/nm1391796/bio,Val Kilmer,1,1
https://www.imdb.com/name/nm1391796/bio,Christopher Meloni,1,1
https://www.imdb.com/name/nm1391796/bio,Faye Dunaway,1,1
https://www.imdb.com/name/nm0796533/bio,Josh Gad,0,0
https://www.imdb.com/name/nm0796533/bio,Bryce Dallas Howard,0,0
https://www.imdb.com/name/nm0796533/bio,Brian Reise,1,1
https://www.imdb.com/name/nm0796533/bio,Risa Bramon Garcia,1,1
https://www.imdb.com/name/nm0796533/bio,Ani Avetyan,1,1
https://www.imdb.com/name/nm0796533/bio,Liev Schreiber,0,0
https://www.imdb.com/name/nm0796533/bio,Rob Zombie,0,0
https://www.imdb.com/name/nm2836740/bio,Nicholas Braun,1,1
https://www.imdb.com/name/nm2836740/bio,Aimee Teegarden,1,1
https://www.imdb.com/name/nm2836740/bio,Luke Benward,0,0
